year,total_drug_arrests,sale_manu_any,her_coc_deriv_manu,weed_manu,synth_manufactured_manu,other_nonnarcotic_manu,possession_any,her_coc_deriv_pos,weed_pos,synth_manufactured_pos,other_nonnarcotic_pos
2018,1654282,224982,72788,54591,29777,66171,1429300,334165,608776,77134,413571
2017,1632921,238406,84912,60418,26127,65317,1394515,336382,599282,78380,380471
2015,1488707,239682,81879,68480,26797,62526,1249025,296252,574641,75924,300719
2014,1561231,263848,90551,81184,29663,64010,1297383,265409,619809,74939,335665
2013,1501043,265685,90063,84058,28520,63044,1235358,246171,609423,69048,310716
2012,1552432,276333,94698,91593,29496,62097,1276099,256151,658231,69859,290305
2011,1531251,278688,96469,94937,27563,61250,1252563,255719,663032,70438,263375
2010,1638846,296631,101608,103247,29499,60637,1342215,268771,750591,67193,257299


