year,total_employees,special_agents,support_staff,budget_billions
2019,10169,4924,5245,3136
2018,9961,4777,5184,3067
2017,9784,4708,5076,2903
2016,11088,5249,5839,2918
2015,11017,5221,5796,2980
2014,11055,5249,5806,2930
2013,11053,5250,5803,2771
2012,11116,5314,5802,2880
2011,11082,5356,5726,2815
2010,10905,5293,5615,2796
2009,10784,5233,5551,2624
2008,10774,5223,5551,2494
2007,10759,5235,5524,2346
2006,10891,5320,5571,2285
2005,10893,5296,5597,2142
2004,10564,5194,5370,2039
2003,9725,4841,4884,1892
2002,9388,4625,4763,1794
2001,9209,4601,4608,1697
2000,9141,4566,4575,1587
1999,9046,4527,4519,1477
1998,8452,4214,4238,1384
1997,7872,3969,3903,1238
1996,7369,3708,3661,1050
1995,7389,3889,3500,1001
1994,7049,3611,3438,970
1993,7266,3518,3748,921
1992,7264,3696,3568,910
1991,7096,3615,3481,875
1990,6274,3191,3083,654
1989,5926,2969,2957,598
1988,5740,2899,2841,523
1987,5710,2879,2831,774
1986,4925,2440,2485,394
1985,4936,2234,2702,362
1984,4093,1963,2130,327
1983,4013,1896,2117,284
1982,4013,1896,2117,244
1981,4167,1964,2203,220
1980,4149,1941,2208,207
1979,4288,1984,2304,200
1978,4440,2054,2386,192
1977,4439,2141,2298,173
1976,4337,2141,2196,161
1975,4286,2135,2151,141
1974,4075,2231,1844,116
1973,2898,1470,1428,75
1972,2775,1470,1305,65
